x,y,z
356.2,274.8,-8.6
355.7,274.8,-8.6
356.6,274.7,-8.5
357.1,274.7,-8.5
357.9,274.7,-8.4
358.3,274.7,-8.4
366.4,274.5,-7.6
366.9,274.5,-7.6
367.8,274.5,-7.5
368.2,274.5,-7.5
391.4,274.1,-6.3
391.9,274.1,-6.3
392.8,274.0,-6.2
393.2,274.0,-6.2
394.1,274.0,-6.1
394.6,274.0,-6.0
402.0,273.8,-6.3
402.9,273.8,-6.3
403.4,273.8,-6.2
423.6,273.4,-4.3
423.6,273.9,-4.3
424.6,273.3,-4.2
424.6,273.8,-4.2
425.5,273.3,-4.2
425.5,273.8,-4.1
404.2,274.4,-7.1
404.2,273.9,-7.1
426.8,273.4,-5.0
426.8,273.9,-5.0
427.7,273.4,-5.0
427.7,273.9,-4.9
428.6,273.3,-4.9
428.6,272.8,-4.9
427.7,272.5,-5.0
427.7,272.9,-5.0
426.8,272.5,-5.1
426.8,272.9,-5.1
425.5,272.4,-4.3
425.5,272.9,-4.2
424.6,272.4,-4.3
424.6,272.9,-4.3
423.6,272.5,-4.4
423.6,273.0,-4.4
422.7,272.5,-4.5
422.7,273.0,-4.5
403.4,272.9,-6.3
403.4,273.4,-6.3
402.5,273.4,-6.3
396.5,273.5,-4.9
395.1,273.5,-5.0
365.2,274.1,-6.8
363.9,274.1,-6.9
359.0,274.2,-7.4
354.6,274.3,-7.8
353.2,274.3,-7.9
338.9,274.6,-9.2
338.4,274.6,-9.3
339.3,274.6,-9.2
339.7,274.6,-9.1
353.7,274.3,-7.9
354.1,274.3,-7.8
355.0,274.3,-7.7
358.5,274.2,-7.4
359.4,274.2,-7.3
359.8,274.2,-7.3
364.3,274.1,-6.9
364.8,274.1,-6.8
368.4,274.0,-6.5
368.8,274.0,-6.5
367.8,274.1,-7.5
366.4,274.1,-7.7
357.9,274.3,-8.5
356.5,274.3,-8.6
340.4,274.7,-10.1
355.7,274.4,-8.7
356.2,274.4,-8.6
357.0,274.3,-8.5
357.4,274.3,-8.5
358.3,274.3,-8.4
366.0,274.1,-7.7
366.9,274.1,-7.6
367.3,274.1,-7.6
368.2,274.1,-7.5
395.6,273.5,-5.0
396.0,273.5,-4.9
396.9,273.5,-4.8
396.9,273.0,-4.9
395.6,273.0,-5.0
369.0,273.5,-5.5
365.2,273.7,-6.8
363.9,273.7,-6.9
362.3,273.6,-6.1
360.9,273.7,-6.2
352.5,273.8,-7.0
352.1,273.9,-7.0
360.0,273.7,-6.3
360.5,273.7,-6.3
361.4,273.6,-6.2
361.8,273.6,-6.1
362.7,273.6,-6.1
363.2,273.6,-6.0
359.8,273.8,-7.3
358.5,273.8,-7.4
354.1,273.9,-7.9
341.1,274.2,-9.1
339.3,274.2,-9.2
339.7,274.2,-9.2
340.6,274.2,-9.1
353.2,273.9,-7.9
353.7,273.9,-7.9
354.6,273.9,-7.8
355.0,273.9,-7.8
359.0,273.8,-7.4
359.4,273.8,-7.4
363.4,273.7,-7.0
364.3,273.7,-6.9
364.8,273.7,-6.9
368.4,273.6,-6.5
368.8,273.6,-6.5
369.4,273.5,-5.4
368.2,273.6,-7.6
366.9,273.6,-7.7
358.3,273.8,-8.5
357.0,273.8,-8.6
355.6,273.9,-8.7
340.4,274.2,-10.1
356.1,273.9,-8.7
356.5,273.8,-8.6
357.4,273.8,-8.6
357.9,273.8,-8.5
366.0,273.6,-7.8
366.4,273.6,-7.7
367.3,273.6,-7.6
367.8,273.6,-7.6
395.1,273.0,-5.1
396.0,273.0,-5.0
396.5,273.0,-4.9
394.6,273.5,-6.1
393.2,273.5,-6.2
391.9,273.6,-6.3
390.5,273.6,-6.4
386.9,273.7,-6.8
385.5,273.7,-6.9
384.2,273.7,-7.0
383.3,273.8,-7.1
383.7,273.7,-7.1
384.6,273.7,-7.0
385.1,273.7,-6.9
386.0,273.7,-6.9
386.4,273.7,-6.8
387.3,273.7,-6.7
387.8,273.7,-6.7
390.9,273.6,-6.4
391.4,273.6,-6.4
392.3,273.6,-6.3
392.8,273.5,-6.2
393.7,273.5,-6.2
394.1,273.5,-6.1
382.7,273.9,-8.2
381.8,273.9,-8.3
382.2,273.9,-8.2
383.1,273.9,-8.1
395.0,273.5,-6.0
395.0,273.1,-6.1
393.7,273.1,-6.2
392.3,273.2,-6.3
390.9,273.2,-6.5
387.3,273.3,-6.8
386.0,273.3,-6.9
384.6,273.3,-7.0
383.3,273.4,-7.2
383.7,273.3,-7.1
384.2,273.3,-7.1
385.1,273.3,-7.0
385.5,273.3,-6.9
386.4,273.3,-6.9
386.9,273.3,-6.8
387.8,273.3,-6.7
390.5,273.2,-6.5
391.4,273.2,-6.4
391.9,273.2,-6.4
392.8,273.1,-6.3
393.2,273.1,-6.2
394.1,273.1,-6.2
394.6,273.1,-6.1
383.1,273.4,-8.2
381.8,273.4,-8.3
382.2,273.4,-8.3
382.7,273.4,-8.2
383.6,273.3,-8.1
402.0,273.4,-6.4
402.9,272.9,-6.3
402.9,273.4,-6.3
403.8,272.9,-6.3
422.3,272.5,-4.5
423.2,272.5,-4.5
423.2,273.0,-4.4
424.1,272.4,-4.4
424.1,272.9,-4.3
425.0,272.4,-4.3
425.0,272.9,-4.2
404.7,273.4,-7.1
405.1,273.4,-7.1
426.3,272.5,-5.2
426.3,272.9,-5.1
427.2,272.5,-5.1
427.2,272.9,-5.1
428.1,272.5,-5.0
428.1,271.6,-5.1
428.1,272.0,-5.1
427.2,271.6,-5.2
427.2,272.0,-5.1
426.3,271.6,-5.3
426.3,272.0,-5.2
425.0,271.5,-4.4
425.0,272.0,-4.3
424.1,271.6,-4.5
424.1,272.1,-4.4
423.2,271.6,-4.5
423.2,272.1,-4.5
422.3,271.6,-4.6
422.3,272.1,-4.6
404.3,272.5,-6.3
401.7,272.4,-5.5
396.9,272.6,-4.9
395.6,272.6,-5.1
369.0,273.0,-5.5
367.3,273.2,-7.7
364.8,273.2,-6.9
363.4,273.2,-7.0
361.8,273.1,-6.2
360.5,273.2,-6.3
351.4,273.4,-6.1
350.0,273.4,-6.3
349.1,273.4,-6.4
349.6,273.4,-6.3
350.5,273.4,-6.2
350.9,273.4,-6.2
352.5,273.3,-7.0
360.0,273.2,-6.3
360.9,273.2,-6.3
361.4,273.1,-6.2
362.3,273.1,-6.1
362.7,273.1,-6.1
359.4,273.3,-7.4
355.0,273.4,-7.8
353.7,273.4,-7.9
340.6,273.7,-9.1
339.3,273.7,-9.3
339.7,273.7,-9.2
341.1,273.7,-9.1
353.2,273.4,-8.0
354.1,273.4,-7.9
354.6,273.4,-7.9
358.5,273.3,-7.5
359.0,273.3,-7.4
359.8,273.3,-7.4
363.9,273.2,-7.0
364.3,273.2,-7.0
358.3,273.4,-8.5
357.0,273.4,-8.6
355.6,273.5,-8.8
339.5,273.8,-10.2
356.1,273.5,-8.7
356.5,273.4,-8.7
357.4,273.4,-8.6
357.9,273.4,-8.5
358.8,273.4,-8.5
365.2,273.2,-6.9
366.9,273.2,-7.7
367.8,273.2,-7.6
368.2,273.2,-7.6
369.4,273.0,-5.5
395.1,272.6,-5.1
396.0,272.6,-5.0
396.5,272.6,-5.0
397.4,272.5,-4.9
397.8,272.5,-4.9
394.1,272.6,-6.2
392.8,272.6,-6.3
391.4,272.7,-6.5
387.8,272.8,-6.8
386.4,272.8,-6.9
385.1,272.8,-7.0
383.7,272.8,-7.2
384.2,272.8,-7.1
384.6,272.8,-7.1
385.5,272.8,-7.0
386.0,272.8,-7.0
386.9,272.8,-6.9
387.3,272.8,-6.8
390.5,272.7,-6.5
390.9,272.7,-6.5
391.9,272.7,-6.4
392.3,272.7,-6.4
393.2,272.6,-6.3
393.7,272.6,-6.2
383.1,273.0,-8.2
381.8,273.0,-8.3
381.3,273.0,-8.4
382.2,273.0,-8.3
382.7,273.0,-8.3
383.6,272.9,-8.2
394.6,272.6,-6.2
402.1,272.4,-5.5
403.8,272.5,-6.3
404.8,272.5,-6.2
404.8,272.0,-6.3
403.0,272.0,-5.4
401.7,272.0,-5.5
396.5,272.1,-5.0
395.1,272.1,-5.1
365.7,272.8,-6.9
364.3,272.8,-7.0
362.7,272.7,-6.1
361.4,272.8,-6.3
360.0,272.8,-6.4
351.4,272.9,-6.2
350.0,272.9,-6.3
324.5,273.5,-7.7
325.0,273.5,-7.6
349.6,272.9,-6.4
350.5,272.9,-6.3
350.9,272.9,-6.2
351.8,272.9,-6.2
352.5,272.9,-7.1
360.5,272.8,-6.3
360.9,272.8,-6.3
361.8,272.7,-6.2
362.3,272.7,-6.2
359.4,272.9,-7.4
354.5,273.0,-7.9
353.2,273.0,-8.0
341.5,273.3,-9.1
340.2,273.3,-9.2
339.7,273.3,-9.3
340.6,273.3,-9.2
341.1,273.3,-9.1
342.0,273.3,-9.1
342.4,273.3,-9.0
353.7,273.0,-8.0
354.0,273.0,-7.9
354.9,273.0,-7.9
359.0,272.9,-7.5
359.8,272.9,-7.4
363.4,272.8,-7.1
363.9,272.8,-7.0
364.8,272.8,-6.9
365.2,272.8,-6.9
366.1,272.7,-6.8
358.8,272.9,-8.5
357.4,272.9,-8.6
356.1,273.0,-8.8
339.5,273.3,-10.3
355.6,273.0,-8.8
356.5,273.0,-8.7
357.0,272.9,-8.7
357.9,272.9,-8.6
358.3,272.9,-8.6
394.7,272.1,-5.2
395.6,272.1,-5.1
396.0,272.1,-5.1
396.8,272.1,-5.0
397.3,272.1,-4.9
394.1,272.2,-6.2
392.8,272.2,-6.4
391.4,272.3,-6.5
387.8,272.4,-6.8
386.4,272.4,-7.0
385.1,272.4,-7.1
383.7,272.4,-7.2
384.2,272.4,-7.2
384.6,272.4,-7.1
385.5,272.4,-7.0
386.0,272.4,-7.0
386.9,272.4,-6.9
387.3,272.4,-6.9
390.5,272.3,-6.6
390.9,272.3,-6.5
391.9,272.3,-6.4
392.3,272.3,-6.4
393.2,272.2,-6.3
393.7,272.2,-6.3
394.6,272.2,-6.2
402.1,272.0,-5.5
402.6,272.0,-5.4
383.1,272.5,-8.3
381.8,272.5,-8.4
382.2,272.5,-8.3
382.7,272.5,-8.3
383.6,272.4,-8.2
403.8,272.0,-6.3
404.3,272.0,-6.3
405.2,272.0,-6.2
422.7,271.6,-4.6
422.7,272.1,-4.5
423.6,271.6,-4.5
423.6,272.1,-4.5
424.6,271.5,-4.4
424.6,272.0,-4.4
425.5,271.5,-4.3
425.5,272.0,-4.3
426.8,271.6,-5.2
426.8,272.0,-5.2
427.7,271.6,-5.1
427.7,270.7,-5.2
427.7,271.1,-5.2
426.8,270.7,-5.3
426.8,271.1,-5.3
425.5,270.6,-4.4
425.5,271.1,-4.4
